icbc_location,crash_count,reason
E 17TH ST & GRAND BLVD W,5,fewer than 2 of the named streets are CNV streets
E 19TH ST # 000300 TO 000399,5,fewer than 2 street names parsed (mid-block record)
E 27TH ST # 001110 TO 001199,5,fewer than 2 street names parsed (mid-block record)
E 9TH ST & GRAND BLVD E,5,fewer than 2 of the named streets are CNV streets
EDGEMONT BLVD & SUNSET BLVD,5,fewer than 2 of the named streets are CNV streets
EDGEMONT BLVD & TRANS-CANADA HWY,5,fewer than 2 of the named streets are CNV streets
EVELYN ST & MOUNTAIN HWY,5,fewer than 2 of the named streets are CNV streets
FAIRWAY DR & MT SEYMOUR PKY,5,fewer than 2 of the named streets are CNV streets
FULLERTON AVE # 002000 TO 002007,5,fewer than 2 street names parsed (mid-block record)
FULLERTON AVE # 002008 TO 002019,5,fewer than 2 street names parsed (mid-block record)
HIGHLAND BLVD # 003220 TO 003285,5,fewer than 2 street names parsed (mid-block record)
KILMER RD # 001000 TO 001299,5,fewer than 2 street names parsed (mid-block record)
LARKHALL CRES # 001550 TO 001599,5,fewer than 2 street names parsed (mid-block record)
LONSDALE AVE # 002301 TO 002449 odd,5,fewer than 2 street names parsed (mid-block record)
LYNN VALLEY RD # 001000 TO 001098 even,5,fewer than 2 street names parsed (mid-block record)
MAIN ST # 001751 TO 001799 odd,5,fewer than 2 street names parsed (mid-block record)
MARINE DR # 001224 TO 001299,5,fewer than 2 street names parsed (mid-block record)
MARINE DR # 001400 TO 001449,5,fewer than 2 street names parsed (mid-block record)
MCKEEN AVE # 001200 TO 001349,5,fewer than 2 street names parsed (mid-block record)
MT SEYMOUR PKY # 003499 TO 003699 odd,5,fewer than 2 street names parsed (mid-block record)
PREMIER ST # 000782 TO 001078,5,fewer than 2 street names parsed (mid-block record)
RAEBURN ST & ROCKCLIFF RD,5,fewer than 2 of the named streets are CNV streets
RAVEN WOODS DR # 000500 TO 000555,5,fewer than 2 street names parsed (mid-block record)
ROBINSON RD # 003138 TO 003299,5,fewer than 2 street names parsed (mid-block record)
SALAL DR # 003595 TO 003596,5,fewer than 2 street names parsed (mid-block record)
VICTORY SHIP WAY # 000100 TO 000115,5,fewer than 2 street names parsed (mid-block record)
W 14TH ST # 000700 TO 000799,5,fewer than 2 street names parsed (mid-block record)
W 15TH ST # 000710 TO 000779,5,fewer than 2 street names parsed (mid-block record)
W 15TH ST # 000800 TO 000899,5,fewer than 2 street names parsed (mid-block record)
W 28TH ST # 000500 TO 000558,5,fewer than 2 street names parsed (mid-block record)
W ESPLANADE # 000100 TO 000123,5,fewer than 2 street names parsed (mid-block record)
W KEITH RD # 000100 TO 000168 even,5,fewer than 2 street names parsed (mid-block record)
W QUEENS RD # 000600 TO 000699,5,fewer than 2 street names parsed (mid-block record)
ADDERLEY ST # 001200 TO 001299,4,fewer than 2 street names parsed (mid-block record)
ALDERLYNN DR & APPIN RD & AYLESLYNN DR,4,fewer than 2 of the named streets are CNV streets
ALPINE CRT # 000600 TO 000719,4,fewer than 2 street names parsed (mid-block record)
ANNE MACDONALD WAY # 003400 TO 003493,4,fewer than 2 street names parsed (mid-block record)
AUTOMALL DR # 000831 TO 000847 odd,4,fewer than 2 street names parsed (mid-block record)
BENDALE RD & BERKLEY RD,4,fewer than 2 of the named streets are CNV streets
BERKLEY AVE & HYANNIS DR,4,fewer than 2 of the named streets are CNV streets
BONITA DR & MONTROYAL BLVD,4,fewer than 2 of the named streets are CNV streets
BRAND ST & E 29TH ST & PRINCESS AVE,4,fewer than 2 of the named streets are CNV streets
BROOKSBANK AVE # 000400 TO 000449,4,fewer than 2 street names parsed (mid-block record)
CACTUS CRT # 002600 TO 002659,4,fewer than 2 street names parsed (mid-block record)
CALVERHALL ST & E KEITH RD,4,fewer than 2 of the named streets are CNV streets
CAPILANO RD # 001800 TO 001849,4,fewer than 2 street names parsed (mid-block record)
CATES PARK RD & DOLLARTON HWY & TURNING LANE,4,fewer than 2 of the named streets are CNV streets
CHURCHILL CRES & LLOYD AVE,4,fewer than 2 of the named streets are CNV streets
CLEMENTS AVE # 000900 TO 000959,4,fewer than 2 street names parsed (mid-block record)
CLIFFMONT RD & DEEP COVE RD,4,fewer than 2 of the named streets are CNV streets
COLUMBIA ST & ORWELL ST,4,fewer than 2 of the named streets are CNV streets
CROYDON PL # 000600 TO 000649,4,fewer than 2 street names parsed (mid-block record)
DEMPSEY RD # 000900 TO 000999,4,fewer than 2 street names parsed (mid-block record)
DEMPSEY RD # 001300 TO 001421,4,fewer than 2 street names parsed (mid-block record)
DEMPSEY RD & LYNN VALLEY RD,4,fewer than 2 of the named streets are CNV streets
DOLLARTON HWY # 002630 TO 002679,4,fewer than 2 street names parsed (mid-block record)
E 12TH ST # 000100 TO 000129,4,fewer than 2 street names parsed (mid-block record)
E 15TH ST # 000136 TO 000199,4,fewer than 2 street names parsed (mid-block record)
